n,k,Nit,Nfev,Ngev,Nhev,StopReason
2,1,4,9,9,0,OK Found solution
2,3,5,11,11,0,OK Found solution
2,9,3,8,7,0,OK Found solution
2,27,3,8,7,0,OK Found solution
2,81,3,10,7,0,OK Found solution
2,243,3,11,7,0,OK Found solution
2,729,3,13,7,0,OK Found solution
2,2187,3,14,7,0,OK Found solution
2,6561,3,17,9,0,OK Found solution
4,1,6,16,16,0,OK Found solution
4,3,17,35,35,0,OK Found solution
4,9,16,33,33,0,OK Found solution
4,27,15,32,31,0,OK Found solution
4,81,13,44,28,0,OK Found solution
4,243,6,21,14,0,OK Found solution
4,729,12,37,25,0,OK Found solution
4,2187,9,37,19,0,OK Found solution
4,6561,8,39,18,0,OK Found solution
8,1,4,11,11,0,OK Found solution
8,3,49,105,105,0,OK Found solution
8,9,23,47,47,0,OK Found solution
8,27,20,41,41,0,OK Found solution
8,81,11,30,23,0,OK Found solution
8,243,11,39,23,0,OK Found solution
8,729,16,58,32,0,OK Found solution
8,2187,9,54,19,0,OK Found solution
8,6561,14,67,31,0,OK Found solution
16,1,4,11,11,0,OK Found solution
16,3,90,191,191,0,OK Found solution
16,9,65,133,133,0,OK Found solution
16,27,37,75,75,0,OK Found solution
16,81,29,59,59,0,OK Found solution
16,243,26,63,55,0,OK Found solution
16,729,63,127,127,0,OK Found solution
16,2187,17,65,35,0,OK Found solution
16,6561,24,60,49,0,OK Found solution
32,1,4,13,13,0,OK Found solution
32,3,77,161,161,0,OK Found solution
32,9,136,280,280,0,OK Found solution
32,27,69,139,139,0,OK Found solution
32,81,64,140,129,0,OK Found solution
32,243,65,131,131,0,OK Found solution
32,729,38,112,77,0,OK Found solution
32,2187,34,145,69,0,OK Found solution
32,6561,39,202,78,0,OK Found solution
64,1,4,23,23,0,OK Found solution
64,3,74,154,154,0,OK Found solution
64,9,126,258,258,0,OK Found solution
64,27,202,411,411,0,OK Found solution
64,81,95,202,191,0,OK Found solution
64,243,54,121,108,0,OK Found solution
64,729,68,284,137,0,OK Found solution
64,2187,84,441,165,0,OK Found solution
64,6561,68,290,137,0,OK Found solution
128,1,4,21,21,0,OK Found solution
128,3,115,247,247,0,OK Found solution
128,9,145,296,296,0,OK Found solution
128,27,144,311,287,0,OK Found solution
128,81,253,521,509,0,OK Found solution
128,243,162,347,324,0,OK Found solution
128,729,83,217,167,0,OK Found solution
128,2187,156,710,303,0,OK Found solution
128,6561,155,753,302,0,OK Found solution
256,1,4,19,19,0,OK Found solution
256,3,100,211,211,0,OK Found solution
256,9,172,353,353,0,OK Found solution
256,27,305,619,619,0,OK Found solution
256,81,251,514,503,0,OK Found solution
256,243,153,318,307,0,OK Found solution
256,729,107,237,214,0,OK Found solution
256,2187,213,1091,421,0,OK Found solution
256,6561,130,283,261,0,OK Found solution
512,1,4,23,23,0,OK Found solution
512,3,114,243,243,0,OK Found solution
512,9,197,405,405,0,OK Found solution
512,27,287,581,581,0,OK Found solution
512,81,320,688,640,0,OK Found solution
512,243,563,1220,1126,0,OK Found solution
512,729,381,840,761,0,OK Found solution
512,2187,279,614,560,0,OK Found solution
512,6561,564,3796,1092,0,OK Found solution
