n,k,Nit,Nfev,Ngev,Nhev,StopReason
2,1,70,150,150,0,OK Found solution
2,3,11,27,27,0,OK Found solution
2,9,10,21,21,0,OK Found solution
2,27,26,64,52,0,OK Found solution
2,81,3,10,9,0,OK Found solution
2,243,3,11,7,0,OK Found solution
2,729,5,29,16,0,OK Found solution
2,2187,3,15,7,0,OK Found solution
2,6561,3,15,7,0,OK Found solution
4,1,6,13,13,0,OK Found solution
4,3,63,131,131,0,OK Found solution
4,9,14,29,29,0,OK Found solution
4,27,5,14,12,0,OK Found solution
4,81,7,22,15,0,OK Found solution
4,243,5,19,11,0,OK Found solution
4,729,5,27,11,0,OK Found solution
4,2187,5,30,11,0,OK Found solution
4,6561,5,31,12,0,OK Found solution
8,1,6,15,15,0,OK Found solution
8,3,47,95,95,0,OK Found solution
8,9,42,85,85,0,OK Found solution
8,27,74,149,149,0,OK Found solution
8,81,24,53,49,0,OK Found solution
8,243,20,48,41,0,OK Found solution
8,729,28,73,57,0,OK Found solution
8,2187,26,83,55,0,OK Found solution
8,6561,9,59,20,0,OK Found solution
16,1,4,13,13,0,OK Found solution
16,3,111,225,225,0,OK Found solution
16,9,141,305,282,0,OK Found solution
16,27,81,163,163,0,OK Found solution
16,81,45,93,91,0,OK Found solution
16,243,60,124,121,0,OK Found solution
16,729,108,222,217,0,OK Found solution
16,2187,48,140,97,0,OK Found solution
16,6561,35,126,71,0,OK Found solution
32,1,4,19,19,0,OK Found solution
32,3,708,1424,1424,0,OK Found solution
32,9,220,441,441,0,OK Found solution
32,27,831,1665,1665,0,OK Found solution
32,81,96,193,193,0,OK Found solution
32,243,125,252,251,0,OK Found solution
32,729,59,138,119,0,OK Found solution
32,2187,66,187,132,0,OK Found solution
32,6561,63,216,127,0,OK Found solution
64,1,4,17,17,0,OK Found solution
64,3,819,1648,1648,0,OK Found solution
64,9,375,809,750,0,OK Found solution
64,27,6560,13130,13130,0,OK Found solution
64,81,871,1832,1739,0,OK Found solution
64,243,290,581,581,0,OK Found solution
64,729,134,297,268,0,OK Found solution
64,2187,100,231,204,0,OK Found solution
64,6561,120,314,242,0,OK Found solution
128,1,4,17,17,0,OK Found solution
128,3,1239,2489,2489,0,OK Found solution
128,9,768,1630,1534,0,OK Found solution
128,27,2432,5158,4853,0,OK Found solution
128,81,789,1623,1575,0,OK Found solution
128,243,396,815,791,0,OK Found solution
128,729,311,671,622,0,OK Found solution
128,2187,197,423,396,0,OK Found solution
128,6561,590,1191,1182,0,OK Found solution
256,1,4,25,25,0,OK Found solution
256,3,4295,8606,8606,0,OK Found solution
256,9,3199,6608,6400,0,OK Found solution
256,27,3449,7594,6881,0,OK Found solution
256,81,1881,4064,3741,0,OK Found solution
256,243,622,1347,1239,0,OK Found solution
256,729,4395,9180,8772,0,OK Found solution
256,2187,454,1021,905,0,OK Found solution
256,6561,1909,3831,3818,0,OK Found solution
512,1,4,27,27,0,OK Found solution
512,3,5644,11306,11306,0,OK Found solution
512,9,3866,7877,7739,0,OK Found solution
512,27,2802,6361,5574,0,OK Found solution
512,81,2486,5551,4937,0,OK Found solution
512,243,3288,7690,6539,0,OK Found solution
512,729,1426,3210,2836,0,OK Found solution
512,2187,584,1196,1169,0,OK Found solution
512,6561,1089,2198,2179,0,OK Found solution
