n,k,Nit,Nfev,Ngev,Nhev,StopReason
2,1,2,23,3,0,OK Found solution
2,3,2,22,3,0,OK Found solution
2,9,2,24,3,0,OK Found solution
2,27,2,24,3,0,OK Found solution
2,81,2,22,3,0,OK Found solution
2,243,2,23,3,0,OK Found solution
2,729,2,26,3,0,OK Found solution
2,2187,36,877,37,0,OK Found solution
2,6561,64,1532,65,0,OK Found solution
4,1,2,26,3,0,OK Found solution
4,3,4,46,5,0,OK Found solution
4,9,4,41,5,0,OK Found solution
4,27,4,37,5,0,OK Found solution
4,81,4,38,5,0,OK Found solution
4,243,4,39,5,0,OK Found solution
4,729,4,42,5,0,OK Found solution
4,2187,4,44,5,0,OK Found solution
4,6561,5359,129901,5360,0,OK Found solution
8,1,2,29,3,0,OK Found solution
8,3,8,144,9,0,OK Found solution
8,9,8,90,9,0,OK Found solution
8,27,8,87,9,0,OK Found solution
8,81,8,71,9,0,OK Found solution
8,243,8,68,9,0,OK Found solution
8,729,108,2461,109,0,OK Found solution
8,2187,8,96,9,0,OK Found solution
8,6561,10000,244091,10001,0,Iteration limit reached
16,1,2,61,3,0,OK Found solution
16,3,12,335,13,0,OK Found solution
16,9,14,319,15,0,OK Found solution
16,27,17,211,18,0,OK Found solution
16,81,19,306,20,0,OK Found solution
16,243,20,256,21,0,OK Found solution
16,729,16,143,17,0,OK Found solution
16,2187,16,160,17,0,OK Found solution
16,6561,2721,64272,2722,0,OK Found solution
32,1,2,45,3,0,OK Found solution
32,3,12,381,13,0,OK Found solution
32,9,29,600,30,0,OK Found solution
32,27,36,693,37,0,OK Found solution
32,81,33,540,34,0,OK Found solution
32,243,54,961,55,0,OK Found solution
32,729,418,9675,419,0,OK Found solution
32,2187,1267,29551,1268,0,OK Found solution
32,6561,5124,121770,5125,0,OK Found solution
64,1,2,33,3,0,OK Found solution
64,3,12,375,13,0,OK Found solution
64,9,25,649,26,0,OK Found solution
64,27,37,859,38,0,OK Found solution
64,81,45,895,46,0,OK Found solution
64,243,43,706,44,0,OK Found solution
64,729,59,789,60,0,OK Found solution
64,2187,130,2557,131,0,OK Found solution
64,6561,4859,116247,4860,0,OK Found solution
128,1,2,51,3,0,OK Found solution
128,3,14,378,15,0,OK Found solution
128,9,31,808,32,0,OK Found solution
128,27,46,1287,47,0,OK Found solution
128,81,65,1435,66,0,OK Found solution
128,243,86,1546,87,0,OK Found solution
128,729,83,1483,84,0,OK Found solution
128,2187,276,5764,277,0,OK Found solution
128,6561,251,5335,252,0,OK Found solution
256,1,2,56,3,0,OK Found solution
256,3,13,452,14,0,OK Found solution
256,9,23,836,24,0,OK Found solution
256,27,78,1980,79,0,OK Found solution
256,81,98,2510,99,0,OK Found solution
256,243,109,2347,110,0,OK Found solution
256,729,124,2525,125,0,OK Found solution
256,2187,189,3658,190,0,OK Found solution
256,6561,3208,74618,3209,0,OK Found solution
512,1,2,63,3,0,OK Found solution
512,3,16,497,17,0,OK Found solution
512,9,26,817,27,0,OK Found solution
512,27,48,1485,49,0,OK Found solution
512,81,111,2896,112,0,OK Found solution
512,243,138,3302,139,0,OK Found solution
512,729,196,4221,197,0,OK Found solution
512,2187,188,3629,189,0,OK Found solution
512,6561,237,4391,238,0,OK Found solution
