n,k,Nit,Nfev,Ngev,Nhev,StopReason
2,1,4,9,9,0,OK Found solution
2,3,9,19,19,0,OK Found solution
2,9,7,17,17,0,OK Found solution
2,27,3,11,10,0,OK Found solution
2,81,3,13,11,0,OK Found solution
2,243,3,14,12,0,OK Found solution
2,729,6,25,21,0,OK Found solution
2,2187,3,23,16,0,OK Found solution
2,6561,3,25,16,0,OK Found solution
4,1,4,9,9,0,OK Found solution
4,3,10,21,21,0,OK Found solution
4,9,10,21,21,0,OK Found solution
4,27,11,24,23,0,OK Found solution
4,81,16,34,34,0,OK Found solution
4,243,19,45,39,0,OK Found solution
4,729,16,38,35,0,OK Found solution
4,2187,19,41,39,0,OK Found solution
4,6561,23,62,47,0,OK Found solution
8,1,4,10,10,0,OK Found solution
8,3,12,25,25,0,OK Found solution
8,9,13,30,30,0,OK Found solution
8,27,22,45,45,0,OK Found solution
8,81,18,38,37,0,OK Found solution
8,243,28,73,56,0,OK Found solution
8,729,24,63,49,0,OK Found solution
8,2187,33,89,66,0,OK Found solution
8,6561,27,75,54,0,OK Found solution
16,1,4,12,12,0,OK Found solution
16,3,14,32,31,0,OK Found solution
16,9,19,41,39,0,OK Found solution
16,27,32,80,65,0,OK Found solution
16,81,29,84,58,0,OK Found solution
16,243,61,161,121,0,OK Found solution
16,729,39,93,78,0,OK Found solution
16,2187,54,176,107,0,OK Found solution
16,6561,67,153,135,0,OK Found solution
32,1,3,9,9,0,OK Found solution
32,3,16,35,34,0,OK Found solution
32,9,22,53,50,0,OK Found solution
32,27,50,138,99,0,OK Found solution
32,81,48,124,100,0,OK Found solution
32,243,72,182,143,0,OK Found solution
32,729,50,130,101,0,OK Found solution
32,2187,58,174,116,0,OK Found solution
32,6561,100,290,197,0,OK Found solution
64,1,3,11,11,0,OK Found solution
64,3,15,34,33,0,OK Found solution
64,9,28,59,57,0,OK Found solution
64,27,43,90,87,0,OK Found solution
64,81,84,174,169,0,OK Found solution
64,243,60,156,119,0,OK Found solution
64,729,158,460,315,0,OK Found solution
64,2187,356,970,709,0,OK Found solution
64,6561,360,1019,708,0,OK Found solution
128,1,2,10,10,0,OK Found solution
128,3,15,35,34,0,OK Found solution
128,9,26,60,58,0,OK Found solution
128,27,48,102,99,0,OK Found solution
128,81,75,164,151,0,OK Found solution
128,243,105,236,210,0,OK Found solution
128,729,154,371,309,0,OK Found solution
128,2187,161,365,323,0,OK Found solution
128,6561,198,543,392,0,OK Found solution
256,1,2,10,10,0,OK Found solution
256,3,14,35,34,0,OK Found solution
256,9,27,61,59,0,OK Found solution
256,27,46,99,96,0,OK Found solution
256,81,71,149,146,0,OK Found solution
256,243,123,264,248,0,OK Found solution
256,729,196,490,390,0,OK Found solution
256,2187,402,1046,799,0,OK Found solution
256,6561,442,1382,862,0,OK Found solution
512,1,2,11,11,0,OK Found solution
512,3,14,35,35,0,OK Found solution
512,9,26,61,58,0,OK Found solution
512,27,44,98,96,0,OK Found solution
512,81,82,172,166,0,OK Found solution
512,243,134,297,269,0,OK Found solution
512,729,194,463,388,0,OK Found solution
512,2187,310,766,618,0,OK Found solution
512,6561,598,1615,1178,0,OK Found solution
