n,k,Nit,Nfev,Ngev,Nhev,StopReason
2,1,2,1,3,2,OK Found solution
2,3,2,1,3,2,OK Found solution
2,9,2,1,3,2,OK Found solution
2,27,2,1,3,2,OK Found solution
2,81,2,1,3,2,OK Found solution
2,243,2,1,3,2,OK Found solution
2,729,2,1,3,2,OK Found solution
2,2187,2,1,3,2,OK Found solution
2,6561,3,1,4,3,OK Found solution
4,1,2,1,3,2,OK Found solution
4,3,4,1,5,4,OK Found solution
4,9,4,1,5,4,OK Found solution
4,27,4,1,5,4,OK Found solution
4,81,4,1,5,4,OK Found solution
4,243,4,1,5,4,OK Found solution
4,729,4,1,5,4,OK Found solution
4,2187,4,1,5,4,OK Found solution
4,6561,4,1,5,4,OK Found solution
8,1,2,1,3,2,OK Found solution
8,3,8,1,9,8,OK Found solution
8,9,8,1,9,8,OK Found solution
8,27,8,1,9,8,OK Found solution
8,81,8,1,9,8,OK Found solution
8,243,8,1,9,8,OK Found solution
8,729,8,1,9,8,OK Found solution
8,2187,9,1,10,9,OK Found solution
8,6561,8,1,9,8,OK Found solution
16,1,2,1,3,2,OK Found solution
16,3,13,1,14,13,OK Found solution
16,9,16,1,17,16,OK Found solution
16,27,16,1,17,16,OK Found solution
16,81,16,1,17,16,OK Found solution
16,243,16,1,17,16,OK Found solution
16,729,16,1,17,16,OK Found solution
16,2187,17,1,18,17,OK Found solution
16,6561,16,1,17,16,OK Found solution
32,1,2,1,3,2,OK Found solution
32,3,14,1,15,14,OK Found solution
32,9,19,1,20,19,OK Found solution
32,27,22,1,23,22,OK Found solution
32,81,30,1,31,30,OK Found solution
32,243,33,1,34,33,OK Found solution
32,729,32,1,33,32,OK Found solution
32,2187,31,1,32,31,OK Found solution
32,6561,33,1,34,33,OK Found solution
64,1,2,1,3,2,OK Found solution
64,3,15,1,16,15,OK Found solution
64,9,25,1,26,25,OK Found solution
64,27,39,1,40,39,OK Found solution
64,81,43,1,44,43,OK Found solution
64,243,47,1,48,47,OK Found solution
64,729,57,1,58,57,OK Found solution
64,2187,53,1,54,53,OK Found solution
64,6561,55,1,56,55,OK Found solution
128,1,2,1,3,2,OK Found solution
128,3,13,1,14,13,OK Found solution
128,9,24,1,25,24,OK Found solution
128,27,44,1,45,44,OK Found solution
128,81,73,1,74,73,OK Found solution
128,243,73,1,74,73,OK Found solution
128,729,76,1,77,76,OK Found solution
128,2187,79,1,80,79,OK Found solution
128,6561,101,1,102,101,OK Found solution
256,1,2,1,3,2,OK Found solution
256,3,14,1,15,14,OK Found solution
256,9,25,1,26,25,OK Found solution
256,27,46,1,47,46,OK Found solution
256,81,68,1,69,68,OK Found solution
256,243,84,1,85,84,OK Found solution
256,729,107,1,108,107,OK Found solution
256,2187,108,1,109,108,OK Found solution
256,6561,138,1,139,138,OK Found solution
512,1,2,1,3,2,OK Found solution
512,3,13,1,14,13,OK Found solution
512,9,25,1,26,25,OK Found solution
512,27,41,1,42,41,OK Found solution
512,81,77,1,78,77,OK Found solution
512,243,113,1,114,113,OK Found solution
512,729,131,1,132,131,OK Found solution
512,2187,161,1,162,161,OK Found solution
512,6561,187,1,188,187,OK Found solution
