n,k,Nit,Nfev,Ngev,Nhev,StopReason
2,1,4,4,4,4,OK Found solution
2,2,4,4,4,4,OK Found solution
2,3,3,3,3,3,OK Found solution
2,5,3,3,3,3,OK Found solution
2,7,3,3,3,3,OK Found solution
2,11,3,3,3,3,OK Found solution
2,17,3,3,3,3,OK Found solution
2,25,3,3,3,3,OK Found solution
2,38,3,3,3,3,OK Found solution
2,57,3,3,3,3,OK Found solution
2,86,3,3,3,3,OK Found solution
2,129,3,3,3,3,OK Found solution
2,194,3,3,3,3,OK Found solution
2,291,3,3,3,3,OK Found solution
2,437,3,3,3,3,OK Found solution
2,656,3,3,3,3,OK Found solution
2,985,3,3,3,3,OK Found solution
2,1477,3,3,3,3,OK Found solution
2,2216,3,3,3,3,OK Found solution
2,3325,3,3,3,3,OK Found solution
2,4987,3,3,3,3,OK Found solution
2,7481,3,3,3,3,OK Found solution
2,11222,3,3,3,3,OK Found solution
2,16834,3,3,3,3,OK Found solution
2,25251,3,3,3,3,OK Found solution
2,37876,3,3,3,3,OK Found solution
2,56815,3,3,3,3,OK Found solution
2,85222,3,3,3,3,OK Found solution
2,127834,3,3,3,3,OK Found solution
2,191751,3,3,3,3,OK Found solution
2,287626,3,3,3,3,OK Found solution
2,431439,3,3,3,3,OK Found solution
2,647159,3,3,3,3,OK Found solution
2,970739,3,3,3,3,OK Found solution
4,1,4,4,4,4,OK Found solution
4,2,6,6,6,6,OK Found solution
4,3,6,6,6,6,OK Found solution
4,5,8,8,8,8,OK Found solution
4,7,6,6,6,6,OK Found solution
4,11,7,7,7,7,OK Found solution
4,17,4,4,4,4,OK Found solution
4,25,6,6,6,6,OK Found solution
4,38,5,5,5,5,OK Found solution
4,57,4,4,4,4,OK Found solution
4,86,6,6,6,6,OK Found solution
4,129,7,7,7,7,OK Found solution
4,194,6,6,6,6,OK Found solution
4,291,5,5,5,5,OK Found solution
4,437,8,8,8,8,OK Found solution
4,656,9,9,9,9,OK Found solution
4,985,8,8,8,8,OK Found solution
4,1477,8,10,10,8,OK Found solution
4,2216,9,11,11,9,OK Found solution
4,3325,8,10,10,8,OK Found solution
4,4987,8,10,10,8,OK Found solution
4,7481,8,9,9,8,OK Found solution
4,11222,9,12,12,9,OK Found solution
4,16834,9,11,11,9,OK Found solution
4,25251,9,10,10,9,OK Found solution
4,37876,9,11,11,9,OK Found solution
4,56815,6,6,6,6,OK Found solution
4,85222,10,15,15,10,OK Found solution
4,127834,15,20,20,15,OK Found solution
4,191751,13,17,17,13,OK Found solution
4,287626,9,10,10,9,OK Found solution
4,431439,5,5,5,5,OK Found solution
4,647159,10,15,15,10,OK Found solution
4,970739,8,10,10,8,OK Found solution
8,1,4,4,4,4,OK Found solution
8,2,7,7,7,7,OK Found solution
8,3,7,7,7,7,OK Found solution
8,5,8,8,8,8,OK Found solution
8,7,10,10,10,10,OK Found solution
8,11,6,6,6,6,OK Found solution
8,17,10,10,10,10,OK Found solution
8,25,9,9,9,9,OK Found solution
8,38,10,10,10,10,OK Found solution
8,57,10,11,11,10,OK Found solution
8,86,11,11,11,11,OK Found solution
8,129,12,12,12,12,OK Found solution
8,194,12,12,12,12,OK Found solution
8,291,11,11,11,11,OK Found solution
8,437,10,10,10,10,OK Found solution
8,656,10,11,11,10,OK Found solution
8,985,13,14,14,13,OK Found solution
8,1477,10,12,12,10,OK Found solution
8,2216,13,15,15,13,OK Found solution
8,3325,9,19,19,9,OK Found solution
8,4987,11,12,12,11,OK Found solution
8,7481,14,16,16,14,OK Found solution
8,11222,9,9,9,9,OK Found solution
8,16834,11,12,12,11,OK Found solution
8,25251,17,20,20,17,OK Found solution
8,37876,13,18,18,13,OK Found solution
8,56815,13,15,15,13,OK Found solution
8,85222,12,16,16,12,OK Found solution
8,127834,15,19,19,15,OK Found solution
8,191751,19,25,25,19,OK Found solution
8,287626,17,22,22,17,OK Found solution
8,431439,16,20,20,16,OK Found solution
8,647159,15,22,22,15,OK Found solution
8,970739,11,13,13,11,OK Found solution
16,1,4,4,4,4,OK Found solution
16,2,7,7,7,7,OK Found solution
16,3,6,6,6,6,OK Found solution
16,5,8,8,8,8,OK Found solution
16,7,8,8,8,8,OK Found solution
16,11,10,10,10,10,OK Found solution
16,17,10,10,10,10,OK Found solution
16,25,12,12,12,12,OK Found solution
16,38,12,12,12,12,OK Found solution
16,57,10,10,10,10,OK Found solution
16,86,12,12,12,12,OK Found solution
16,129,12,12,12,12,OK Found solution
16,194,12,12,12,12,OK Found solution
16,291,10,11,11,10,OK Found solution
16,437,14,15,15,14,OK Found solution
16,656,12,13,13,12,OK Found solution
16,985,14,15,15,14,OK Found solution
16,1477,13,17,17,13,OK Found solution
16,2216,14,17,17,14,OK Found solution
16,3325,15,52,40,16,Warning: Desired error not necessarily achieved due to precision loss.
16,4987,18,23,23,18,OK Found solution
16,7481,14,23,23,14,OK Found solution
16,11222,18,22,22,18,OK Found solution
16,16834,15,23,23,15,OK Found solution
16,25251,18,23,23,18,OK Found solution
16,37876,17,55,43,18,Warning: Desired error not necessarily achieved due to precision loss.
16,56815,17,22,22,17,OK Found solution
16,85222,19,22,22,19,OK Found solution
16,127834,17,58,55,17,OK Found solution
16,191751,16,20,20,16,OK Found solution
16,287626,16,64,53,17,Warning: Desired error not necessarily achieved due to precision loss.
16,431439,17,53,52,17,OK Found solution
16,647159,17,18,18,17,OK Found solution
16,970739,16,18,18,16,OK Found solution
32,1,3,3,3,3,OK Found solution
32,2,9,9,9,9,OK Found solution
32,3,8,8,8,8,OK Found solution
32,5,9,9,9,9,OK Found solution
32,7,9,9,9,9,OK Found solution
32,11,11,11,11,11,OK Found solution
32,17,10,10,10,10,OK Found solution
32,25,12,12,12,12,OK Found solution
32,38,12,12,12,12,OK Found solution
32,57,11,11,11,11,OK Found solution
32,86,13,13,13,13,OK Found solution
32,129,12,13,13,12,OK Found solution
32,194,15,16,16,15,OK Found solution
32,291,15,15,15,15,OK Found solution
32,437,13,18,18,13,OK Found solution
32,656,15,15,15,15,OK Found solution
32,985,16,17,17,16,OK Found solution
32,1477,15,18,18,15,OK Found solution
32,2216,19,20,20,19,OK Found solution
32,3325,17,18,18,17,OK Found solution
32,4987,19,20,20,19,OK Found solution
32,7481,19,22,22,19,OK Found solution
32,11222,16,64,53,17,Warning: Desired error not necessarily achieved due to precision loss.
32,16834,20,67,55,21,Warning: Desired error not necessarily achieved due to precision loss.
32,25251,16,20,20,17,Warning: Desired error not necessarily achieved due to precision loss.
32,37876,15,57,45,16,Warning: Desired error not necessarily achieved due to precision loss.
32,56815,20,67,56,21,Warning: Desired error not necessarily achieved due to precision loss.
32,85222,19,23,23,19,OK Found solution
32,127834,21,26,26,21,OK Found solution
32,191751,21,78,66,22,Warning: Desired error not necessarily achieved due to precision loss.
32,287626,19,53,50,19,OK Found solution
32,431439,18,68,56,19,Warning: Desired error not necessarily achieved due to precision loss.
32,647159,22,28,28,22,OK Found solution
32,970739,24,34,34,24,OK Found solution
64,1,3,3,3,3,OK Found solution
64,2,7,7,7,7,OK Found solution
64,3,7,7,7,7,OK Found solution
64,5,9,9,9,9,OK Found solution
64,7,10,10,10,10,OK Found solution
64,11,11,11,11,11,OK Found solution
64,17,12,12,12,12,OK Found solution
64,25,12,12,12,12,OK Found solution
64,38,12,12,12,12,OK Found solution
64,57,12,12,12,12,OK Found solution
64,86,14,14,14,14,OK Found solution
64,129,13,13,13,13,OK Found solution
64,194,18,18,18,18,OK Found solution
64,291,16,16,16,16,OK Found solution
64,437,12,12,12,12,OK Found solution
64,656,15,15,15,15,OK Found solution
64,985,15,15,15,15,OK Found solution
64,1477,16,16,16,16,OK Found solution
64,2216,18,18,18,18,OK Found solution
64,3325,18,20,20,18,OK Found solution
64,4987,16,18,18,16,OK Found solution
64,7481,19,21,21,19,OK Found solution
64,11222,18,20,20,18,OK Found solution
64,16834,15,15,15,15,OK Found solution
64,25251,17,18,18,17,OK Found solution
64,37876,19,22,22,19,OK Found solution
64,56815,20,24,24,20,OK Found solution
64,85222,22,49,47,23,Warning: Desired error not necessarily achieved due to precision loss.
64,127834,24,29,29,25,Warning: Desired error not necessarily achieved due to precision loss.
64,191751,23,27,27,23,OK Found solution
64,287626,22,26,26,22,OK Found solution
64,431439,22,28,28,22,OK Found solution
64,647159,26,35,35,26,OK Found solution
64,970739,21,68,56,22,Warning: Desired error not necessarily achieved due to precision loss.
128,1,3,3,3,3,OK Found solution
128,2,7,7,7,7,OK Found solution
128,3,8,8,8,8,OK Found solution
128,5,9,9,9,9,OK Found solution
128,7,9,9,9,9,OK Found solution
128,11,9,9,9,9,OK Found solution
128,17,11,11,11,11,OK Found solution
128,25,12,12,12,12,OK Found solution
128,38,10,10,10,10,OK Found solution
128,57,14,14,14,14,OK Found solution
128,86,13,13,13,13,OK Found solution
128,129,13,13,13,13,OK Found solution
128,194,10,10,10,10,OK Found solution
128,291,12,12,12,12,OK Found solution
128,437,16,16,16,16,OK Found solution
128,656,15,53,41,16,Warning: Desired error not necessarily achieved due to precision loss.
128,985,19,20,20,19,OK Found solution
128,1477,18,18,18,18,OK Found solution
128,2216,18,18,18,18,OK Found solution
128,3325,18,19,19,18,OK Found solution
128,4987,20,22,22,20,OK Found solution
128,7481,20,21,21,20,OK Found solution
128,11222,18,20,20,18,OK Found solution
128,16834,17,20,20,17,OK Found solution
128,25251,16,16,16,16,OK Found solution
128,37876,19,23,23,19,OK Found solution
128,56815,20,24,24,20,OK Found solution
128,85222,20,75,63,21,Warning: Desired error not necessarily achieved due to precision loss.
128,127834,21,26,26,21,OK Found solution
128,191751,22,26,26,22,OK Found solution
128,287626,23,86,74,24,Warning: Desired error not necessarily achieved due to precision loss.
128,431439,24,34,34,24,OK Found solution
128,647159,24,45,44,24,OK Found solution
128,970739,24,50,48,24,OK Found solution
256,1,3,3,3,3,OK Found solution
256,2,7,7,7,7,OK Found solution
256,3,8,8,8,8,OK Found solution
256,5,10,10,10,10,OK Found solution
256,7,9,9,9,9,OK Found solution
256,11,11,11,11,11,OK Found solution
256,17,12,12,12,12,OK Found solution
256,25,11,11,11,11,OK Found solution
256,38,13,13,13,13,OK Found solution
256,57,15,15,15,15,OK Found solution
256,86,12,12,12,12,OK Found solution
256,129,11,11,11,11,OK Found solution
256,194,14,14,14,14,OK Found solution
256,291,16,17,17,16,OK Found solution
256,437,16,17,17,16,OK Found solution
256,656,16,49,38,17,Warning: Desired error not necessarily achieved due to precision loss.
256,985,16,17,17,16,OK Found solution
256,1477,17,18,18,17,OK Found solution
256,2216,17,18,18,17,OK Found solution
256,3325,18,18,18,18,OK Found solution
256,4987,18,19,19,18,OK Found solution
256,7481,20,21,21,20,OK Found solution
256,11222,17,70,58,18,Warning: Desired error not necessarily achieved due to precision loss.
256,16834,20,56,55,20,OK Found solution
256,25251,22,25,25,22,OK Found solution
256,37876,22,23,23,22,OK Found solution
256,56815,23,26,26,23,OK Found solution
256,85222,22,26,26,22,OK Found solution
256,127834,22,26,26,22,OK Found solution
256,191751,25,33,33,25,OK Found solution
256,287626,24,27,27,24,OK Found solution
256,431439,25,29,29,25,OK Found solution
256,647159,26,30,30,27,Warning: Desired error not necessarily achieved due to precision loss.
256,970739,23,28,28,24,Warning: Desired error not necessarily achieved due to precision loss.
512,1,2,2,2,2,OK Found solution
512,2,7,7,7,7,OK Found solution
512,3,6,6,6,6,OK Found solution
512,5,7,7,7,7,OK Found solution
512,7,9,9,9,9,OK Found solution
512,11,9,9,9,9,OK Found solution
512,17,12,12,12,12,OK Found solution
512,25,9,9,9,9,OK Found solution
512,38,15,15,15,15,OK Found solution
512,57,13,13,13,13,OK Found solution
512,86,14,14,14,14,OK Found solution
512,129,16,16,16,16,OK Found solution
512,194,15,15,15,15,OK Found solution
512,291,15,16,16,15,OK Found solution
512,437,15,16,16,15,OK Found solution
512,656,16,17,17,16,OK Found solution
512,985,17,43,41,17,OK Found solution
512,1477,16,18,18,16,OK Found solution
512,2216,16,16,16,16,OK Found solution
512,3325,18,21,21,18,OK Found solution
512,4987,21,22,22,22,Warning: Desired error not necessarily achieved due to precision loss.
512,7481,20,22,22,20,OK Found solution
512,11222,21,22,22,21,OK Found solution
512,16834,20,20,20,20,OK Found solution
512,25251,20,48,37,21,Warning: Desired error not necessarily achieved due to precision loss.
512,37876,20,21,21,20,OK Found solution
512,56815,21,25,25,21,OK Found solution
512,85222,24,79,67,25,Warning: Desired error not necessarily achieved due to precision loss.
512,127834,21,25,25,21,OK Found solution
512,191751,24,26,26,24,OK Found solution
512,287626,23,95,83,24,Warning: Desired error not necessarily achieved due to precision loss.
512,431439,23,28,28,23,OK Found solution
512,647159,24,28,28,25,Warning: Desired error not necessarily achieved due to precision loss.
512,970739,24,30,30,24,OK Found solution
