n,k,Nit,Nfev,Ngev,Nhev,StopReason
2,1,2,5,4,2,OK Found solution
2,3,2,5,4,2,OK Found solution
2,9,2,5,4,2,OK Found solution
2,27,2,5,4,2,OK Found solution
2,81,2,5,4,2,OK Found solution
2,243,2,16,3,2,OK Found solution
2,729,2,5,4,2,OK Found solution
2,2187,2,5,4,2,OK Found solution
2,6561,2,5,4,2,OK Found solution
4,1,2,16,3,2,OK Found solution
4,3,2,5,4,2,OK Found solution
4,9,2,16,3,2,OK Found solution
4,27,2,5,4,2,OK Found solution
4,81,2,6,4,2,OK Found solution
4,243,2,5,4,2,OK Found solution
4,729,2,5,4,2,OK Found solution
4,2187,2,16,3,2,OK Found solution
4,6561,2,7,4,2,OK Found solution
8,1,2,5,4,2,OK Found solution
8,3,2,6,4,2,OK Found solution
8,9,2,5,4,2,OK Found solution
8,27,2,5,4,2,OK Found solution
8,81,2,16,3,2,OK Found solution
8,243,2,5,4,2,OK Found solution
8,729,2,5,4,2,OK Found solution
8,2187,2,7,4,2,OK Found solution
8,6561,2,16,3,2,OK Found solution
16,1,2,5,4,2,OK Found solution
16,3,2,5,4,2,OK Found solution
16,9,2,16,3,2,OK Found solution
16,27,2,5,4,2,OK Found solution
16,81,2,5,4,2,OK Found solution
16,243,2,5,4,2,OK Found solution
16,729,2,5,4,2,OK Found solution
16,2187,2,5,4,2,OK Found solution
16,6561,2,5,4,2,OK Found solution
32,1,2,6,4,2,OK Found solution
32,3,2,16,3,2,OK Found solution
32,9,2,16,4,2,OK Found solution
32,27,2,16,3,2,OK Found solution
32,81,2,5,4,2,OK Found solution
32,243,2,5,4,2,OK Found solution
32,729,2,5,4,2,OK Found solution
32,2187,2,5,4,2,OK Found solution
32,6561,2,5,4,2,OK Found solution
64,1,2,5,4,2,OK Found solution
64,3,2,16,3,2,OK Found solution
64,9,2,6,4,2,OK Found solution
64,27,2,16,3,2,OK Found solution
64,81,2,16,3,2,OK Found solution
64,243,2,5,4,2,OK Found solution
64,729,2,5,4,2,OK Found solution
64,2187,2,5,4,2,OK Found solution
64,6561,2,5,4,2,OK Found solution
128,1,2,5,4,2,OK Found solution
128,3,2,5,4,2,OK Found solution
128,9,2,5,4,2,OK Found solution
128,27,2,5,4,2,OK Found solution
128,81,2,5,4,2,OK Found solution
128,243,2,16,3,2,OK Found solution
128,729,2,5,4,2,OK Found solution
128,2187,2,5,4,2,OK Found solution
128,6561,2,5,4,2,OK Found solution
256,1,2,5,4,2,OK Found solution
256,3,2,16,3,2,OK Found solution
256,9,2,5,4,2,OK Found solution
256,27,2,5,4,2,OK Found solution
256,81,2,5,4,2,OK Found solution
256,243,2,5,4,2,OK Found solution
256,729,2,7,4,2,OK Found solution
256,2187,2,7,4,2,OK Found solution
256,6561,2,5,4,2,OK Found solution
512,1,2,5,4,2,OK Found solution
512,3,2,5,4,2,OK Found solution
512,9,2,5,4,2,OK Found solution
512,27,2,5,4,2,OK Found solution
512,81,2,16,3,2,OK Found solution
512,243,2,16,3,2,OK Found solution
512,729,2,5,4,2,OK Found solution
512,2187,2,5,4,2,OK Found solution
512,6561,2,5,4,2,OK Found solution
