n,k,Nit,Nfev,Ngev,Nhev,StopReason
2,1,2,24,3,0,OK Found solution
2,3,2,28,3,0,OK Found solution
2,9,2,22,3,0,OK Found solution
2,27,2,30,3,0,OK Found solution
2,81,2,21,3,0,OK Found solution
2,243,2,26,3,0,OK Found solution
2,729,2,26,3,0,OK Found solution
2,2187,2,27,3,0,OK Found solution
2,6561,2,30,3,0,OK Found solution
4,1,2,32,3,0,OK Found solution
4,3,4,51,5,0,OK Found solution
4,9,4,45,5,0,OK Found solution
4,27,4,38,5,0,OK Found solution
4,81,4,38,5,0,OK Found solution
4,243,4,42,5,0,OK Found solution
4,729,23,482,24,0,OK Found solution
4,2187,4,51,5,0,OK Found solution
4,6561,2289,56266,2290,0,OK Found solution
8,1,2,32,3,0,OK Found solution
8,3,8,122,9,0,OK Found solution
8,9,8,111,9,0,OK Found solution
8,27,8,104,9,0,OK Found solution
8,81,8,74,9,0,OK Found solution
8,243,8,68,9,0,OK Found solution
8,729,71,1579,72,0,OK Found solution
8,2187,655,15495,656,0,OK Found solution
8,6561,269,6425,270,0,OK Found solution
16,1,2,39,3,0,OK Found solution
16,3,12,270,13,0,OK Found solution
16,9,16,354,17,0,OK Found solution
16,27,20,291,21,0,OK Found solution
16,81,16,222,17,0,OK Found solution
16,243,16,168,17,0,OK Found solution
16,729,16,137,17,0,OK Found solution
16,2187,16,158,17,0,OK Found solution
16,6561,334,7857,335,0,OK Found solution
32,1,2,44,3,0,OK Found solution
32,3,17,407,18,0,OK Found solution
32,9,25,557,26,0,OK Found solution
32,27,43,941,44,0,OK Found solution
32,81,34,497,35,0,OK Found solution
32,243,44,754,45,0,OK Found solution
32,729,276,6377,277,0,OK Found solution
32,2187,553,12646,554,0,OK Found solution
32,6561,237,5197,238,0,OK Found solution
64,1,2,49,3,0,OK Found solution
64,3,22,542,23,0,OK Found solution
64,9,19,696,20,0,OK Found solution
64,27,42,1039,43,0,OK Found solution
64,81,102,2395,103,0,OK Found solution
64,243,71,1270,72,0,OK Found solution
64,729,114,2005,115,0,OK Found solution
64,2187,825,18918,826,0,OK Found solution
64,6561,154,2883,155,0,OK Found solution
128,1,2,61,3,0,OK Found solution
128,3,15,424,16,0,OK Found solution
128,9,26,789,27,0,OK Found solution
128,27,42,1165,43,0,OK Found solution
128,81,107,2820,108,0,OK Found solution
128,243,100,2027,101,0,OK Found solution
128,729,140,2720,141,0,OK Found solution
128,2187,406,8638,407,0,OK Found solution
128,6561,1949,45868,1950,0,OK Found solution
256,1,2,52,3,0,OK Found solution
256,3,17,504,18,0,OK Found solution
256,9,48,1311,49,0,OK Found solution
256,27,234,5865,235,0,OK Found solution
256,81,102,2868,103,0,OK Found solution
256,243,232,5447,233,0,OK Found solution
256,729,166,3413,167,0,OK Found solution
256,2187,578,12443,579,0,OK Found solution
256,6561,2753,64368,2754,0,OK Found solution
512,1,2,48,3,0,OK Found solution
512,3,13,414,14,0,OK Found solution
512,9,83,2204,84,0,OK Found solution
512,27,250,6249,251,0,OK Found solution
512,81,388,9840,389,0,OK Found solution
512,243,513,12727,514,0,OK Found solution
512,729,1008,25835,1009,0,OK Found solution
512,2187,260,5560,261,0,OK Found solution
512,6561,408,8726,409,0,OK Found solution
