n,k,Nit,Nfev,Ngev,Nhev,StopReason
2,1,4,6,8,4,OK Found solution
2,3,4,6,8,4,OK Found solution
2,9,4,6,8,4,OK Found solution
2,27,4,6,8,4,OK Found solution
2,81,4,6,8,4,OK Found solution
2,243,4,6,8,4,OK Found solution
2,729,4,6,8,4,OK Found solution
2,2187,4,6,8,4,OK Found solution
2,6561,4,6,8,4,OK Found solution
4,1,4,6,8,4,OK Found solution
4,3,4,6,8,4,OK Found solution
4,9,4,6,8,4,OK Found solution
4,27,4,6,8,4,OK Found solution
4,81,4,6,8,4,OK Found solution
4,243,4,6,8,4,OK Found solution
4,729,4,6,8,4,OK Found solution
4,2187,4,6,8,4,OK Found solution
4,6561,4,6,8,4,OK Found solution
8,1,4,6,8,4,OK Found solution
8,3,4,6,8,4,OK Found solution
8,9,5,7,10,5,OK Found solution
8,27,4,6,8,4,OK Found solution
8,81,5,7,10,5,OK Found solution
8,243,5,7,10,5,OK Found solution
8,729,5,7,10,5,OK Found solution
8,2187,5,7,10,5,OK Found solution
8,6561,5,7,10,5,OK Found solution
16,1,5,7,10,5,OK Found solution
16,3,5,7,10,5,OK Found solution
16,9,5,7,10,5,OK Found solution
16,27,5,7,10,5,OK Found solution
16,81,5,7,10,5,OK Found solution
16,243,5,7,10,5,OK Found solution
16,729,5,7,10,5,OK Found solution
16,2187,5,7,10,5,OK Found solution
16,6561,5,7,10,5,OK Found solution
32,1,5,7,10,5,OK Found solution
32,3,5,7,10,5,OK Found solution
32,9,5,7,10,5,OK Found solution
32,27,6,8,12,6,OK Found solution
32,81,6,8,12,6,OK Found solution
32,243,6,8,12,6,OK Found solution
32,729,6,8,12,6,OK Found solution
32,2187,6,8,12,6,OK Found solution
32,6561,6,8,12,6,OK Found solution
64,1,6,8,12,6,OK Found solution
64,3,6,8,12,6,OK Found solution
64,9,6,8,12,6,OK Found solution
64,27,6,8,12,6,OK Found solution
64,81,6,8,12,6,OK Found solution
64,243,6,8,12,6,OK Found solution
64,729,6,8,12,6,OK Found solution
64,2187,6,8,12,6,OK Found solution
64,6561,6,8,12,6,OK Found solution
128,1,6,8,12,6,OK Found solution
128,3,6,8,12,6,OK Found solution
128,9,7,9,14,7,OK Found solution
128,27,6,8,12,6,OK Found solution
128,81,6,8,12,6,OK Found solution
128,243,7,9,14,7,OK Found solution
128,729,7,9,14,7,OK Found solution
128,2187,7,9,14,7,OK Found solution
128,6561,6,8,12,6,OK Found solution
256,1,7,9,14,7,OK Found solution
256,3,7,9,14,7,OK Found solution
256,9,7,9,14,7,OK Found solution
256,27,7,9,14,7,OK Found solution
256,81,7,9,14,7,OK Found solution
256,243,7,9,14,7,OK Found solution
256,729,7,9,14,7,OK Found solution
256,2187,7,9,14,7,OK Found solution
256,6561,7,9,14,7,OK Found solution
512,1,7,9,14,7,OK Found solution
512,3,7,9,14,7,OK Found solution
512,9,7,9,14,7,OK Found solution
512,27,8,10,16,8,OK Found solution
512,81,7,9,14,7,OK Found solution
512,243,8,10,16,8,OK Found solution
512,729,8,10,16,8,OK Found solution
512,2187,7,9,14,7,OK Found solution
512,6561,8,10,16,8,OK Found solution
